NAME	TITLE	SCORE	
TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	1.7183013	
KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	1.7114836	
CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	1.7045203	
GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	1.6988066	
EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	1.6881173	
H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	1.6857471	
HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1.6610107	
GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	1.6590253	
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	1.653184	
LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	1.652893	
TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1.6351794	
ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	1.6336384	
TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]	1.6298125	
LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	1.6284823	
TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1.6093993	
PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1.606878	
H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	1.5929002	
ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	1.5907298	
TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	1.5810946	
TUBA1B	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	1.5554975	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1.5520446	
CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	1.5462841	
PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	1.5456471	
TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	1.5430952	
TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	1.5314089	
