p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.50790365470798e-67	0.266881334819541	0.213	0.077	2.42392669492247e-62	0	Ramp3
1.53911183117622e-66	0.754478169447475	0.635	0.459	4.96902254695242e-62	0	Ece1
1.63202156283221e-66	0.367454203013421	0.932	0.753	5.26898161560379e-62	0	Kdm2b
1.78397806666103e-66	-0.325383766376792	0.063	0.222	5.75957318821515e-62	0	Pik3ap1
1.86152731903953e-66	-0.38844322582625	0.045	0.197	6.00994094951912e-62	0	Sytl2
3.65587607519608e-66	-0.428718957794508	0.867	0.865	1.18029959087706e-61	0	Mier1
5.15721361865703e-66	0.28248041678018	0.491	0.289	1.66500641678342e-61	0	Lamp1
1.34906736676128e-65	-0.723870896872464	0.385	0.547	4.35546399358881e-61	0	Hip1
1.62799221200646e-65	0.408804937984133	0.731	0.554	5.25597285646286e-61	0	Hpcal1
1.9064985171985e-65	0.293338026404905	0.996	0.996	6.15513046277534e-61	0	Rps26
2.76057976122304e-65	-0.311254066648284	0.982	0.978	8.91253175910858e-61	0	Arhgdib
6.82831589875704e-65	0.728370279586652	0.427	0.262	2.20452178791371e-60	0	Jazf1
6.92867345518693e-65	0.323883854358227	0.359	0.188	2.2369222250071e-60	0	Sestd1
1.53424305845223e-64	0.447017512815504	0.249	0.102	4.95330371421304e-60	0	Ar
2.41256672284196e-64	0.401138073827432	0.45	0.27	7.78897166469528e-60	0	Slc29a1
3.33752921860769e-64	0.47830662562536	0.758	0.583	1.07752130822749e-59	0	Clasp2
1.11482379219251e-63	0.459407517210123	0.824	0.672	3.59920861309353e-59	0	Glud1
1.1150102560866e-63	-0.459831365752594	0.738	0.791	3.5998106117756e-59	0	Emp3
2.29595042380248e-63	0.338893984993401	0.78	0.598	7.41247594324631e-59	0	Coq10b
2.40494325097865e-63	-0.292385492194199	0.994	0.989	7.76435928578458e-59	0	Pfn1
5.88744606237467e-63	0.4603342566569	0.414	0.24	1.90076196123766e-58	0	Ppp2r3a
8.68524616433715e-63	0.405425649929269	0.216	0.085	2.80403172415625e-58	0	Cd160
9.29908602966201e-63	0.328343027783093	0.661	0.453	3.00220992467638e-58	0	Smim14
1.48727331810923e-62	0.571040420392809	0.654	0.485	4.80166190751565e-58	0	Farp1
6.71452005749387e-62	0.334505283379741	0.964	0.92	2.1677828005619e-57	0	Ftl1
1.13283386677374e-61	0.335684396003534	0.529	0.339	3.65735413887902e-57	0	Gm15472
1.35624425675968e-61	0.371078286122812	0.659	0.465	4.37863458294864e-57	0	Ric1
1.42954770445788e-61	0.672098368430512	0.349	0.191	4.61529476384227e-57	0	Cd81
1.80977395481907e-61	-0.635959501058981	0.163	0.334	5.84285521313337e-57	0	Ctla2a
2.26836009984561e-61	0.420463561515557	0.622	0.427	7.32340058235155e-57	0	Asap1
4.89430007005655e-61	0.448835861336835	0.909	0.817	1.58012477761776e-56	0	Stat3
6.43910434618242e-61	0.285965836549488	0.444	0.26	2.07886483816499e-56	0	Wdfy1
7.03319513201594e-61	0.356610853214165	0.602	0.399	2.27066704837134e-56	0	Prelid2
8.08396650042884e-61	-0.342322593767719	0.023	0.15	2.60990858466345e-56	0	Ccna2
9.65270900186365e-61	0.374537746315411	0.27	0.123	3.11637710125168e-56	0	Btbd11
9.69647439991319e-61	0.431697023866034	0.883	0.754	3.13050676001197e-56	0	Ldlrad4
3.05628224572413e-60	0.307601040317547	0.426	0.252	9.86720723032034e-56	0	Ccdc28b
3.07866614626309e-59	0.359906319795893	0.627	0.433	9.9394736532104e-55	0	Myo9a
3.27430521066758e-59	0.306298286100312	0.303	0.15	1.05710943726403e-54	0	Tspan2
3.95687680468734e-59	-0.687134868995031	0.137	0.298	1.27747767639331e-54	0	Ifi206
1.01530422878162e-58	0.523057951887332	0.907	0.843	3.27790970262145e-54	0	Gm26740
2.73992356661105e-58	-0.403295572052493	0.3	0.48	8.84584323480378e-54	0	Cish
3.94266554488934e-58	0.345855438184953	0.306	0.152	1.27288957116752e-53	0	Ier5l
1.66467283995472e-57	-0.950763575469884	0.101	0.246	5.37439626379381e-53	0	Pclaf
2.87989469898876e-57	0.296868725870048	0.963	0.873	9.2977400356852e-53	0	Pnrc1
3.84718997505719e-57	-0.780482926174035	0.326	0.476	1.24206528344721e-52	0	Gpr183
3.88647429238974e-57	0.510389670058363	0.732	0.579	1.25474822529803e-52	0	Eprs
7.57261491481662e-57	0.409456065795666	0.832	0.708	2.44481872524854e-52	0	Ss18
1.85431802007501e-56	-0.460413751983333	0.051	0.189	5.98666572781215e-52	0	Itgae
1.91385231182175e-56	0.354718934938151	0.908	0.784	6.17887218871651e-52	0	Arf4
2.25021075342355e-56	0.448454481150912	0.873	0.784	7.26480541742793e-52	0	Stat5b
2.89612641249689e-56	0.369548404094823	0.611	0.433	9.3501441227462e-52	0	Nsmaf
3.08940912466399e-56	0.324238117301077	0.923	0.825	9.9741573589777e-52	0	Ogt
3.98977896924272e-56	-0.394377468677542	0.103	0.259	1.28810014022001e-51	0	Entpd1
4.80663407320283e-56	0.300176292733406	0.94	0.789	1.55182181053353e-51	0	Uba52
4.94124254243986e-56	-0.507228671729534	0.428	0.564	1.59528015482671e-51	0	Rcsd1
6.55175858564339e-56	-0.399091526259235	0.021	0.139	2.11523525937497e-51	0	Hmmr
8.62094486209063e-56	-0.711919731372712	0.806	0.785	2.78327204872596e-51	0	Vim
9.19629433267803e-56	-0.527389581521435	0.215	0.374	2.9690236253051e-51	0	Ifi47
1.19348041712844e-55	-0.267726340852847	0.98	0.976	3.85315152669917e-51	0	Coro1a
1.8453231855395e-55	0.334006790842659	0.937	0.869	5.95762590451428e-51	0	Atrx
6.99232409804676e-55	0.320281816235811	0.733	0.55	2.2574718350544e-50	0	Sik1
7.20645853941623e-55	-0.976320184412992	0.691	0.701	2.32660513945053e-50	0	S100a4
2.27589846215356e-54	0.397755033793536	0.524	0.367	7.34773818506278e-50	0	Endod1
2.38823887365981e-54	0.447019471328156	0.887	0.793	7.71042920361069e-50	0	Arid5b
3.33698964119022e-54	0.300686627183521	0.386	0.218	1.07734710565826e-49	0	Cyth3
3.4104635785874e-54	0.342600521114419	0.882	0.784	1.10106816634694e-49	0	Zbtb20
6.37907335968423e-54	-1.20369569745961	0.26	0.394	2.05948383417405e-49	0	Stmn1
1.00967997358079e-53	-0.343327565723789	0.054	0.183	3.25975179470559e-49	0	Spc24
1.082449425902e-53	0.346742463124098	0.515	0.341	3.4946879715246e-49	0	Lnx2
1.11014569685407e-53	0.46317996744451	0.597	0.413	3.58410538229336e-49	0	Slamf6
1.34457372951689e-53	-0.529763003590778	0.016	0.125	4.34095628574526e-49	0	Hist1h2ab
1.40952147837144e-53	-0.425506093169585	0.045	0.171	4.55064009292219e-49	0	Knl1
1.89396779232995e-53	-0.480192877046568	0.648	0.763	6.11467501753724e-49	0	Ipcef1
2.9298605576924e-53	-0.85450943917017	0.986	0.99	9.45905481050992e-49	0	Cmss1
3.06073227010942e-53	-0.751296347487493	0.191	0.341	9.88157413404825e-49	0	Pag1
3.86540935369489e-53	-0.277005503669079	0.049	0.18	1.2479474098404e-48	0	Rnase4
5.6395349274715e-53	0.313142899861317	0.327	0.175	1.82072385133417e-48	0	Grk5
5.74674107437324e-53	-0.484448711326997	0.304	0.465	1.8553353558614e-48	0	Socs2
1.0762140655916e-52	0.332911854678484	0.873	0.736	3.47455711076249e-48	0	Ostf1
2.42950816195407e-52	-0.83630526656435	1	1	7.84366710086871e-48	0	Gm42418
