p_val	avg_log2FC	pct.1	pct.2	p_val_adj
2.77816457228979e-28	-0.459677053504631	0.494	0.565	8.9693043216376e-24
3.15152377525436e-28	-0.512298068161783	0.271	0.398	1.01746945084087e-23
3.8734954812753e-28	-0.387532467628179	0.748	0.766	1.25055801612973e-23
4.23705179268873e-28	-0.310346842019664	0.106	0.229	1.36793217126955e-23
4.97222601746833e-28	-0.511759341782758	0.05	0.154	1.60528316973965e-23
4.99091854749872e-28	-0.257758139762326	0.021	0.112	1.61131805305996e-23
6.10810523826657e-28	-0.340958695080199	0.887	0.847	1.97200177617436e-23
6.67248939652599e-28	0.275571482970986	0.844	0.703	2.15421320166842e-23
7.56268477989469e-28	-0.352078492967306	0.197	0.324	2.441612781189e-23
8.61544148066174e-28	-0.343572525600541	0.145	0.264	2.78149528203164e-23
1.07701738485483e-27	-0.365643485626598	0.107	0.223	3.47715062700383e-23
1.29477876408385e-27	0.27250103628021	0.457	0.309	4.18019323984472e-23
1.42614481743476e-27	0.258312393181524	0.586	0.428	4.60430854308811e-23
2.47447154355348e-27	-0.384174977142258	0.585	0.626	7.98883137836242e-23
2.47520450678636e-27	0.354477039887142	0.418	0.286	7.99119775015976e-23
3.16531987982497e-27	0.25208524723158	0.241	0.137	1.02192352320149e-22
3.4015911689006e-27	-0.366323534519022	0.577	0.618	1.09820370887956e-22
4.78034713234202e-27	-0.550034559193956	0.71	0.684	1.54333507167662e-22
5.3748265447373e-27	-0.351431114032291	0.196	0.311	1.73526274996844e-22
6.1729889529378e-27	-0.406287895129236	0.163	0.281	1.99294948345597e-22
8.60306460103627e-27	-0.416016617587323	0.293	0.399	2.77749940644456e-22
9.50859304458617e-27	0.459752713092801	0.588	0.463	3.06984926444464e-22
1.02318289764468e-26	0.260325210761062	0.891	0.765	3.30334598504585e-22
1.15596308784885e-26	0.256656513679753	0.577	0.422	3.73202682912002e-22
1.35790330099967e-26	-0.489973126777072	0.469	0.553	4.38399080727745e-22
1.90489414178636e-26	0.318688330187312	0.627	0.48	6.14995073675727e-22
1.93066819350028e-26	-0.268891767785353	0.023	0.11	6.23316226271564e-22
2.32486142221614e-26	-0.295860704133779	0.05	0.149	7.50581510162481e-22
2.55405178908052e-26	-0.424255314726282	0.482	0.556	8.24575620104647e-22
2.6027989228247e-26	-0.378459059193943	0.326	0.427	8.40313632233956e-22
2.75993009671581e-26	-0.343325197218166	0.289	0.398	8.91043431724698e-22
2.77311439746209e-26	0.264770426887184	0.596	0.448	8.95299983220637e-22
2.79293524095227e-26	-0.419277797133281	0.213	0.33	9.01699142541441e-22
2.8263029664555e-26	-0.378646183631984	0.265	0.385	9.12471912720157e-22
2.88666449756052e-26	-0.442583139156016	0.691	0.722	9.31959633037414e-22
2.92814107295424e-26	-0.404271963509377	0.197	0.311	9.45350345403277e-22
3.35672648687374e-26	-0.287651511644531	0.107	0.229	1.08371914628719e-21
4.13975599569301e-26	-0.424218282028251	0.22	0.328	1.33652022320949e-21
5.26609841833658e-26	-0.364497767535507	0.425	0.5	1.70015987435997e-21
6.32932747407035e-26	-0.419717198888171	0.57	0.632	2.04342337500361e-21
6.66854245367913e-26	-0.288557780628775	0.067	0.17	2.15293893117031e-21
7.14048777087963e-26	-0.437214198645928	0.1	0.208	2.30530647682849e-21
9.01942907269751e-26	-0.465323794943052	0.384	0.492	2.91192267612039e-21
1.75825022849162e-25	-0.339032286063642	0.061	0.159	5.67651086268521e-21
2.58248078485067e-25	-0.389042171257905	0.409	0.505	8.3375392138904e-21
2.77340701135204e-25	-0.407351464037284	0.213	0.324	8.95394453615006e-21
3.20336689444712e-25	0.253385790320119	0.423	0.287	1.03420700187225e-20
3.42821416534145e-25	-0.383755250637027	0.52	0.585	1.10679894328049e-20
3.77234583374057e-25	-0.317788596558042	0.391	0.525	1.21790185242314e-20
3.82852819195517e-25	-0.337867477360022	0.026	0.112	1.23604032677273e-20
3.99706254523355e-25	-0.371750534945793	0.18	0.294	1.29045164272865e-20
4.47561484839333e-25	-0.398914504408289	0.59	0.613	1.44495225380379e-20
4.65984837633463e-25	-0.489479838032933	0.43	0.481	1.50443204829963e-20
5.83976678181841e-25	-0.561604883297744	0.324	0.401	1.88536870551007e-20
7.62913150984439e-25	0.264845232613616	0.605	0.452	2.46306510795326e-20
1.19228570078884e-24	0.260904948433634	0.782	0.642	3.84929438499677e-20
1.27014478313625e-24	-0.395700146038653	0.297	0.399	4.10066243235539e-20
1.31850894131496e-24	-0.288398411157183	0.11	0.219	4.25680611703535e-20
1.62608279214346e-24	-0.268574355040193	0.095	0.209	5.24980829443517e-20
1.94729714112851e-24	0.262571473060573	0.964	0.933	6.28684882013339e-20
2.02309082426182e-24	-0.353398093681655	0.632	0.673	6.53154872612928e-20
2.05199344860837e-24	-0.36470111875945	0.597	0.64	6.62486084883214e-20
2.1963981991267e-24	-0.369398173093296	0.304	0.408	7.09107158588054e-20
2.73005302877159e-24	0.519993976382243	0.558	0.434	8.81397620338907e-20
3.35029695872508e-24	-0.432419066071991	0.212	0.321	1.08164337312439e-19
3.60048903427475e-24	-0.484350419327421	0.29	0.37	1.1624178847156e-19
3.84172523793008e-24	-0.381107705424108	0.416	0.509	1.24030099306573e-19
4.64715976407957e-24	-0.318274106116839	0.148	0.258	1.50033552983309e-19
5.37106852444816e-24	-0.458466606834766	0.095	0.198	1.73404947311809e-19
5.73939293100367e-24	-0.32985208771266	0.654	0.656	1.85296300777454e-19
5.80644579330792e-24	-0.465212387770389	0.615	0.614	1.87461102436946e-19
5.83968024249388e-24	-0.393254777659123	0.568	0.615	1.88534076628915e-19
6.2480677813043e-24	-0.414936211812522	0.559	0.611	2.01718868319409e-19
6.7073280332302e-24	-0.364265166520513	0.701	0.74	2.16546085552837e-19
6.79583759902299e-24	-0.44143013065147	0.433	0.531	2.19403616884457e-19
8.03004739480341e-24	-0.393856418331361	0.433	0.525	2.59250080141228e-19
1.03098138771319e-23	-0.378553560242708	0.555	0.61	3.32852341023205e-19
1.26371463795234e-23	-0.390066292510357	0.506	0.564	4.07990270862912e-19
1.6015098484308e-23	-0.40054911802344	0.309	0.409	5.17047454565883e-19
1.96840473618158e-23	-0.48609592402151	0.259	0.367	6.35499469076224e-19
2.07133624206409e-23	0.253095629457797	0.677	0.538	6.68730905750392e-19
2.45204693238821e-23	-0.331391265865486	0.51	0.563	7.91643352121535e-19
2.47839056343804e-23	-0.365432857776979	0.508	0.557	8.00148393405972e-19
2.57289278281023e-23	-0.318869194136297	0.078	0.176	8.30658434930284e-19
2.71869317653231e-23	-0.34099294027529	0.632	0.66	8.77730092043458e-19
4.24496629317885e-23	-0.438748046310959	0.453	0.515	1.37048736775279e-18
4.77685175031306e-23	-0.338471560911919	0.149	0.257	1.54220658758857e-18
5.51850367421639e-23	-0.285125057223056	0.109	0.212	1.78164891122076e-18
8.47471191768767e-23	-0.382358492934012	0.687	0.719	2.73606074262546e-18
9.38508215276859e-23	-0.467514084410111	0.37	0.46	3.02997377302134e-18
1.56642998008765e-22	-0.299380943873195	0.809	0.779	5.05721919071299e-18
1.73383990622619e-22	-0.296801870855696	0.086	0.182	5.59770213725125e-18
2.07877646630798e-22	0.283259929090813	0.834	0.693	6.71132982147531e-18
2.20104758765477e-22	-0.293931795204741	0.131	0.243	7.10608213674343e-18
2.27348883780618e-22	-0.324207497920193	0.104	0.204	7.33995871285725e-18
2.34966647787363e-22	0.399634033987629	0.534	0.391	7.58589822381501e-18
2.74095573237782e-22	-0.385523051802116	0.467	0.529	8.84917558198179e-18
2.89618386253745e-22	-0.348153094657133	0.139	0.243	9.35032960020215e-18
3.08192893530917e-22	-0.296839535161462	0.773	0.744	9.95000756764564e-18
3.37406931489413e-22	-0.415300227543816	0.376	0.467	1.08931827831357e-17
5.75494199222603e-22	-0.274615024036872	0.861	0.808	1.85798302219017e-17
6.15891864050533e-22	-0.486134233715144	0.407	0.463	1.98840688308714e-17
7.28686353580961e-22	-0.295747043502461	0.744	0.782	2.35256389253613e-17
8.10253863168733e-22	-0.328340241751931	0.455	0.516	2.61590459724025e-17
8.24689735045568e-22	-0.327997754526272	0.455	0.581	2.66251080959462e-17
8.61749257534323e-22	-0.360852163785176	0.916	0.858	2.78215747794956e-17
9.39384338039196e-22	-0.274612372801645	0.037	0.119	3.03280233535955e-17
9.68699394849365e-22	-0.31292330305225	0.742	0.82	3.12744599627117e-17
1.62802489966963e-21	-0.382563525484892	0.162	0.266	5.25607838858341e-17
1.73716434589528e-21	-0.275283546919907	0.115	0.215	5.60843509072291e-17
2.22033959544933e-21	-0.28198014421273	0.144	0.247	7.16836638390815e-17
2.25120880613468e-21	-0.288890977417173	0.117	0.214	7.26802763060581e-17
3.24079972540346e-21	0.301363901799072	0.37	0.258	1.04629219134651e-16
4.19420780744686e-21	-0.252001965080225	0.053	0.139	1.35409999063422e-16
4.5630151857702e-21	-0.409185871583658	0.314	0.414	1.47316945272591e-16
4.60235082567051e-21	-0.302704505901045	0.148	0.25	1.48586896406772e-16
5.12045721927377e-21	-0.285450952163793	0.081	0.172	1.65313961324254e-16
5.19347545489169e-21	-0.405279095075559	0.524	0.562	1.67671355061178e-16
5.73936178411728e-21	0.338341062176366	0.438	0.311	1.85295295200226e-16
6.04981505584497e-21	-0.297654380975938	0.054	0.139	1.95318279077955e-16
