p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0.000866820789199997	-0.825988323924618	0.02	0.25	1
0.000866820789199997	-0.990635257576704	0.02	0.25	1
0.000872298839676083	-1.08125290577958	0.02	0.25	1
0.000933154383958554	-1.23757653355661	0.02	0.25	1
0.000941133381968949	-0.922800857905058	0.18	0.75	1
0.000962646634361269	-0.534333596777604	0.02	0.25	1
0.000978081349170313	-0.929667879969864	0.082	0.5	1
0.000993000146590004	-0.651962781148357	0.02	0.25	1
0.00101233069853746	-1.24279715190584	0.18	0.75	1
0.0011025325064211	-0.91771174631446	0.021	0.25	1
0.00116789740288842	-1.77776938571502	0.083	0.5	1
0.00116884975882504	2.67156413519222	0.938	0	1
0.00118789290648363	-0.635962157052992	0.021	0.25	1
0.0011924672851477	-1.1345686751482	0.215	0.75	1
0.00127017031384823	-0.634432894979291	0.021	0.25	1
0.00130847432946475	-1.0731259181237	0.021	0.25	1
0.00134784187314533	-0.896272707698707	0.021	0.25	1
0.00136415626370518	-1.70280614404087	0.022	0.25	1
0.00145336380210449	-0.737394314387001	0.082	0.5	1
0.0014725999797625	-1.03043469737716	1	1	1
0.00156254426211334	-1.07025590295709	0.528	1	1
0.00156990041836488	-1.25692317718535	0.186	0.75	1
0.00158443109311149	-0.813106517501776	0.022	0.25	1
0.00167350542611252	2.36432547686505	0.993	0.5	1
0.00168422925101252	-0.819394482126166	0.022	0.25	1
0.00173119756474652	-0.736498078911049	0.084	0.5	1
0.00174274592179971	-1.02953014820873	0.199	0.75	1
0.00180827790933571	-1.31938868383296	0.023	0.25	1
0.00182561087529109	-1.05955900585842	0.496	1	1
0.00185984122696159	-0.629730232804387	0.023	0.25	1
0.00189363973412688	2.01577403218814	0.897	0	1
0.00189586196975505	-0.636497911442638	0.023	0.25	1
0.00195837853161034	1.9504692532166	0.921	0.25	1
0.00196614749362147	2.39347386531571	0.971	0.5	1
0.00198824368950757	-1.01655904599207	0.092	0.5	1
0.00201087239536709	1.37893246076863	0.993	0.75	1
0.00206495719664483	2.53729564115883	0.947	0.25	1
0.0021589740261901	-0.637730530261491	0.023	0.25	1
0.00222430675176115	-0.808943689746043	0.086	0.5	1
0.00229321593978361	-0.817575677187547	0.023	0.25	1
0.00245575630564732	-1.09593761255725	0.249	0.75	1
0.00246743592996027	2.06275948095998	0.874	0	1
0.00251323860010363	-0.894777399348559	0.095	0.5	1
0.0027721553313993	-0.631445428696977	0.024	0.25	1
0.00287038098830485	-0.527717993811242	0.024	0.25	1
0.00289063388289733	-0.459779638262505	0.024	0.25	1
0.00300015920997389	-1.01023502609862	0.22	0.75	1
0.00303189052514439	-0.817937653432959	0.025	0.25	1
0.00304754027574436	-0.525950928935905	0.025	0.25	1
0.00308536467607497	-1.28929978643273	0.661	1	1
0.00311895073848306	-0.889889180038508	0.093	0.5	1
0.00313062421208658	-1.11445267567856	0.101	0.5	1
0.00314008446870575	-1.05006758940131	0.1	0.5	1
0.00324993101205057	1.26074278918517	0.998	1	1
0.00331631793574763	-0.62795063198253	0.093	0.5	1
0.00338942867962822	-0.815548324657392	0.025	0.25	1
0.00340127408077684	1.45648823339493	0.982	0.75	1
0.00344729520369205	-1.14262789758093	0.274	0.75	1
0.00358959955620025	2.51027971592461	0.839	0	1
0.00359479211119525	1.6676237730719	0.882	0.25	1
0.00366373527260402	-1.04344686167921	0.257	0.75	1
0.0038301906739374	-0.523915242041502	0.026	0.25	1
0.00385534809831738	1.58858847492273	0.833	0	1
0.00385567555055722	-1.07284319385959	0.094	0.5	1
0.00396277662022627	-1.20391808658085	0.591	1	1
0.00398374801562953	-0.847488735825887	0.22	0.75	1
0.00412016570167493	-0.428309594368206	0.025	0.25	1
0.00416510607009838	-0.811792907370391	0.026	0.25	1
0.00418416332945484	-0.589428110452362	0.025	0.25	1
0.00425586137263262	-1.33407665178717	0.647	1	1
0.00429992277742707	-1.2192504100259	0.534	1	1
0.00437003300876686	-0.525447692082822	0.026	0.25	1
0.00441236060208332	-0.629435126499144	0.026	0.25	1
0.0044518573840207	-1.10392883668753	0.684	1	1
0.00447654895322752	-0.52061603796414	0.026	0.25	1
0.00449813235309092	-0.903221832486114	0.026	0.25	1
0.00465919760308447	-1.28429835230759	0.282	0.75	1
0.0047246967252419	-0.889173125249588	0.439	1	1
0.00475331751984149	-1.07745688048138	0.027	0.25	1
0.00480756094118065	2.1521511730214	0.812	0	1
0.00484460758401266	1.56232610658672	0.811	0	1
0.00489029170253872	-0.803631415646973	0.027	0.25	1
0.00489550677490344	-1.0102198404509	0.693	1	1
0.00490103472314168	-0.706809276630478	0.098	0.5	1
0.0049392218790893	1.66303181300387	0.993	0.75	1
0.0050222959067287	-0.629128153548617	0.027	0.25	1
0.0051174341605196	-0.621132167551742	0.027	0.25	1
0.00516561150768466	-0.622963147084898	0.027	0.25	1
0.00516659963256893	-1.25836032919733	0.292	0.75	1
0.00521553488888637	-1.06411967074624	0.278	0.75	1
0.00540939230825076	-1.10601605368067	0.113	0.5	1
0.0055244125736702	2.16522183527466	0.925	0.5	1
0.00555598508860397	2.41961351558914	0.973	0.5	1
0.00558474883237691	-2.33832488753781	0.111	0.5	1
0.00560346401598472	2.12875680720733	0.969	0.75	1
0.00567252839595888	-0.679055845862297	0.099	0.5	1
0.00568266240364425	1.73625329429726	0.858	0.25	1
0.0056831873785093	-1.15816523959507	0.428	1	1
0.00584418123720873	1.59143225043713	0.978	0.75	1
0.00591340225214796	2.05048673394108	0.791	0	1
0.00592082342504193	1.23157131413865	0.971	0.75	1
0.00602997564401052	1.57151497040333	0.907	0.25	1
0.006046496404965	-0.845956612557602	0.636	1	1
0.0060741359943227	0.937533776767721	0.999	1	1
0.00609756229120417	-0.981591305839518	0.24	0.75	1
0.00611174006967833	-0.319828100003019	0.098	0.5	1
0.00613584345552468	-1.07499887058712	0.495	1	1
0.00614104684205437	-1.53701459452135	0.288	0.75	1
0.00622909027127443	-1.56826836616547	0.308	0.75	1
0.00625520691340634	-1.45551550597251	0.713	1	1
0.00644892584413834	-1.05096481666769	0.84	1	1
0.00653041736114104	-1.08983587935441	0.78	1	1
0.00663406821779766	-1.02101075929374	0.116	0.5	1
0.00665741707208779	2.00740075314466	0.78	0	1
0.00681627545711433	-0.577723937630473	0.028	0.25	1
0.00684844048381518	-0.82199334509038	0.249	0.75	1
0.00685807244199072	-0.870973705190077	0.107	0.5	1
0.00688849149373608	-0.517656854161808	0.029	0.25	1
0.00696636631077932	-0.891487632649169	0.118	0.5	1
