p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
5.85431890353218e-121	0.270011855939735	0.859	0.617	1.89006685800537e-116	Prr13
2.45446413908494e-120	0.304994626797539	0.776	0.552	7.92423747303572e-116	Sp3
3.21224208119602e-120	0.403841589277805	0.928	0.797	1.03707235591414e-115	Elf1
4.11712629983859e-120	-0.489733843493243	0.312	0.427	1.32921422590289e-115	Ccdc69
4.28965804415457e-120	0.284519619052032	0.179	0.062	1.3849160995553e-115	Abcb1b
5.42658436954151e-120	-0.294322359514243	0.029	0.135	1.75197276370648e-115	Gm16337
6.45189013288079e-120	0.308785163565682	0.946	0.836	2.08299272940056e-115	Cd47
1.04786910424435e-119	-0.300908693771582	0.934	0.944	3.38304540305288e-115	Fyb
2.87270428954542e-119	0.446785331190262	0.898	0.788	9.27452579879738e-115	Aopep
3.5363431625577e-119	-0.313408872713787	0.936	0.901	1.14170839003175e-114	Hnrnpf
1.04052950647195e-118	0.289406290151672	0.656	0.435	3.35934951164468e-114	Fbxw11
1.49677511813896e-118	0.265693449800161	0.948	0.783	4.83233846891163e-114	Tspo
2.42346795839673e-118	-0.735042390666026	0.14	0.278	7.82416630368385e-114	Hist1h3e
2.60546013734599e-118	-0.322339292946186	0.077	0.204	8.41172805342152e-114	D1Ertd622e
6.22263909174265e-118	0.275799379659904	0.463	0.261	2.00897903076911e-113	Arl5b
8.20453658942186e-118	0.268959709891979	0.913	0.716	2.64883463789485e-113	Reep5
1.78613181762806e-117	0.330634834092091	0.222	0.091	5.76652657321219e-113	Ust
1.82405850524039e-117	-0.521914847462637	0.448	0.529	5.8889728841686e-113	Fam53b
1.86936906667177e-117	-0.464513284237618	0.783	0.807	6.03525803174982e-113	Ifi203
2.39401923217116e-116	0.282636233123649	0.813	0.582	7.7290910910646e-112	Smpdl3a
4.39329004141831e-116	0.325780817595702	0.852	0.665	1.4183736898719e-111	Smarca5
7.54547086254321e-116	0.363818972691674	0.609	0.389	2.43605526797208e-111	Gm26917
1.18451540906694e-115	-0.476876708972906	0.322	0.5	3.8242079981726e-111	Neb
2.09608501188163e-115	0.262994428471729	0.603	0.383	6.76721046085985e-111	Mbtd1
2.17413354256532e-115	-0.48090214410611	0.144	0.277	7.01919014217213e-111	Swap70
3.1511890825255e-115	-0.329849850317671	0.043	0.153	1.01736139529336e-110	Gm17231
3.2288794204836e-115	-0.544922226535814	0.043	0.154	1.04244372090313e-110	Ifit1
4.50583563105818e-115	-0.728123658515762	0.012	0.101	1.45470903348713e-110	Hdac9
6.93083314402719e-115	-0.513527568002661	0.379	0.519	2.23761948054918e-110	Znrf3
6.94324827125516e-115	0.30891421316559	0.837	0.622	2.24162770437473e-110	Dnajb6
1.01696215954853e-114	0.278308072242691	0.76	0.547	3.28326233210243e-110	Zfr
1.72138066738867e-114	-0.455372015632702	0.147	0.282	5.55747748466431e-110	Cdc14b
1.8071880987137e-114	-0.275166674908354	0.025	0.124	5.83450677669717e-110	Bmpr1a
2.44613034065541e-114	0.33659471282974	0.601	0.39	7.89733180480599e-110	Arhgap26
4.00117038066558e-114	0.388653903808284	0.659	0.433	1.29177785739788e-109	Bach2
5.49151141536652e-114	0.361511896920449	0.623	0.423	1.77293446045108e-109	Lpxn
1.36380681670494e-113	-0.551383053275379	0.126	0.255	4.4030503077319e-109	Gbp2
1.92419474951128e-113	0.269765773802988	0.663	0.447	6.21226274879717e-109	Nsf
2.21022614303858e-113	-0.354153806482502	0.091	0.216	7.13571510280007e-109	Arid3b
2.78165225203197e-113	-0.616544894212264	0.494	0.571	8.98056429568523e-109	Parp14
3.30195064791072e-113	0.270294471178501	0.832	0.615	1.06603476667797e-108	Spn
5.14047712419477e-113	0.300879447318693	0.757	0.532	1.65960303954628e-108	Eno1
1.26674603470773e-112	-0.374185456597099	0.942	0.928	4.08968957305392e-108	Ankrd44
2.012551625849e-112	0.252194047987132	0.954	0.839	6.49752292405349e-108	Eif3f
3.03736962892952e-112	0.285071509845873	0.789	0.526	9.80614784699894e-108	Ube2s
4.90370878107286e-112	-0.441578322774266	0.742	0.718	1.58316237996937e-107	Bin2
6.62668786374241e-112	0.271923838272546	0.837	0.602	2.13942617680924e-107	Prelid1
7.12566045206744e-112	-0.390289182310465	0.461	0.604	2.30051947694997e-107	Slamf6
8.08067256814552e-112	-0.411674514660395	0.115	0.246	2.60884513862578e-107	Gbp5
4.11824131792197e-111	0.253859138292622	0.757	0.52	1.32957420949111e-106	Atp6v0c
4.60947871059327e-111	0.260395816160355	0.547	0.337	1.48817020171504e-106	Cited2
4.78362558843822e-111	-0.44092863048178	0.042	0.15	1.54439352122728e-106	St8sia6
5.11394333889538e-111	-0.403180148590519	0.121	0.251	1.65103660696237e-106	Ecm1
7.05010899668177e-111	-0.348219344656422	0.935	0.889	2.27612768957871e-106	Tpr
9.21439266622173e-111	-0.534279231213092	0.716	0.722	2.97486667228969e-106	Zdhhc20
1.06196081788873e-110	-0.589872888881685	0.433	0.53	3.42854050055375e-106	Gm37240
1.07117201856256e-110	-0.267027805789144	0.013	0.1	3.45827886192922e-106	Anxa1
1.51363452224409e-110	-0.258698236326697	0.033	0.135	4.88676905506503e-106	Naip2
2.92832631662619e-110	-0.420858514071599	0.259	0.404	9.45410151322764e-106	Trib2
6.00158245739885e-110	0.365467181890145	0.553	0.339	1.93761089637122e-105	Cenpa
1.15997455835283e-109	-0.67114713078808	0.132	0.261	3.74497786164213e-105	Hist1h4h
1.89001969293299e-109	0.313256425288243	0.871	0.69	6.10192857863415e-105	Cnot6l
2.376053903618e-109	0.320229813955951	0.995	0.969	7.67109002783072e-105	Actg1
2.47925312646971e-109	0.256844162956161	0.868	0.647	8.00426871880747e-105	Srp9
3.9930018246796e-109	-0.57153322271389	0.483	0.534	1.28914063909781e-104	Ppp1r14b
4.66508365879037e-109	0.321526502301249	0.631	0.406	1.50612225924047e-104	Dut
4.76526793479917e-109	0.391723372726312	0.37	0.208	1.53846675274991e-104	Jazf1
4.28348975738745e-108	0.261449260120119	0.854	0.627	1.38292466817254e-103	Gnb2
8.48880139353208e-108	-0.402872200981849	0.83	0.813	2.74060952990183e-103	Il2rg
9.95140332317176e-108	-0.454232846733773	0.113	0.241	3.212810562886e-103	Lrrc32
3.04661948294019e-107	-0.54432958442756	0.35	0.45	9.8360110006724e-103	Bmp2k
3.17846854902033e-107	-0.45185175027349	0.762	0.763	1.02616857105121e-102	Cyth1
3.67980353682135e-107	0.411518410277774	0.557	0.386	1.18802457186277e-102	Tnfrsf9
7.77198618364505e-107	-0.467343376846569	0.791	0.796	2.5091857393898e-102	Rap1gds1
1.32886638070518e-106	0.375407448481014	0.799	0.62	4.29024511010667e-102	Rps6ka3
2.07031108353767e-106	-0.537123653091982	0.252	0.375	6.68399933320136e-102	Ptger4
4.32826288240828e-106	-0.434362636167731	0.285	0.396	1.39737967158551e-101	Nsmce1
1.34041754194165e-105	-0.396837671286212	0.824	0.778	4.32753803415861e-101	Xrn2
4.44649576683633e-105	-0.509819587280918	0.481	0.569	1.43555115832311e-100	Dtnb
9.92714782237201e-105	0.29134023361445	0.735	0.514	3.2049796744528e-100	Aprt
1.49919747317935e-104	-0.404055518466712	0.947	0.93	4.84015904215953e-100	Rapgef6
3.50893074671376e-104	0.327676786028593	0.923	0.79	1.13285829157654e-99	Fryl
3.89759399809371e-104	0.292851865537815	0.842	0.678	1.25833822228455e-99	Tut4
1.69883574008722e-103	0.364781783243388	0.531	0.335	5.48469118687159e-99	Ankrd13c
3.15763113704671e-103	0.300376387214007	0.678	0.458	1.01944121259553e-98	Gm8369
3.23663581736454e-103	-0.552442293294943	0.186	0.314	1.04494787363614e-98	Prkce
3.51235238487788e-103	-0.350363430244358	0.072	0.188	1.13396296745782e-98	Ankrd6
3.61806934449099e-103	-0.461186556166592	0.222	0.344	1.16809368786891e-98	Trim59
8.8812067301592e-103	0.458619951421224	0.863	0.754	2.8672975928319e-98	S100a4
1.2497158087191e-102	0.34555226116654	0.844	0.695	4.03470748844961e-98	Stat5b
1.44098978089424e-102	-0.484887096141413	0.483	0.546	4.65223550761705e-98	Mia2
2.20830425488866e-102	-0.349759801317453	0.291	0.433	7.12951028690804e-98	Arl5c
2.48933959231741e-102	-0.539703976867584	0.507	0.565	8.03683287379674e-98	Senp7
3.52027943767833e-102	0.269685273590844	0.568	0.371	1.13652221645445e-97	Phf6
7.42011551347988e-102	-0.289283172404159	0.957	0.925	2.39558429352698e-97	Gm10260
7.76441545770076e-102	-0.571582699717371	0.58	0.629	2.50674153051869e-97	Insyn2b
2.33793408903729e-101	-0.561391675104667	0.596	0.648	7.54802020645689e-97	Lclat1
2.66539719903118e-101	-0.264999999022807	0.03	0.125	8.60523485707218e-97	Pard6g
3.11255822190112e-101	0.258461320977374	0.9	0.71	1.00488942194078e-96	Map1lc3b
6.8337837606766e-101	0.295955620870881	0.869	0.691	2.20628708713444e-96	Hcst
7.26499595403298e-101	-0.485613398926463	0.482	0.531	2.34550394375955e-96	Vrk1
3.77194453035014e-100	-0.254092969455764	0.999	0.996	1.21777229162354e-95	Rps20
1.04603236758644e-99	0.315638753891694	0.669	0.479	3.37711549875282e-95	Pkp3
3.95860759518213e-99	-0.463687954507699	0.165	0.287	1.27803646210455e-94	Gm12216
7.05969269653561e-99	-0.363724998262305	0.024	0.112	2.27922178707652e-94	Bicd1
7.45425537994016e-99	-0.377368403116893	0.756	0.722	2.40660634941368e-94	Park7
6.04970312934068e-98	-0.354993741444456	0.999	1	1.95314665530764e-93	Malat1
1.62091981870451e-97	0.262602269911428	0.713	0.509	5.23313963468751e-93	Map3k1
2.5665865009926e-97	0.266553432874273	0.576	0.369	8.28622451845461e-93	Dpp4
2.69859666865842e-97	-0.462264591086686	0.153	0.274	8.71241934476372e-93	Trim30d
5.35625510119935e-97	0.275907728208451	0.976	0.925	1.72926695942221e-92	Ankrd11
5.42342696796596e-97	0.250126709949654	0.763	0.549	1.75095339660781e-92	Rbbp6
9.5298552729418e-97	-0.461556908428583	0.495	0.541	3.07671377486926e-92	Rps6ka1
1.41399175598179e-96	0.298713739150893	0.506	0.321	4.5650723841872e-92	Elmsan1
1.51123590799833e-96	-0.494283081977162	0.322	0.432	4.87902512897261e-92	Tmem154
3.56622549230231e-96	-0.427605270834496	0.656	0.673	1.1513559001898e-91	Traf3ip3
6.57916696819016e-96	-0.283815086459912	0.779	0.835	2.12408405568019e-91	Grap2
2.28761446772492e-95	-0.518441558208051	0.976	0.976	7.3855633090499e-91	Inpp4b
2.61159867098542e-95	-0.261199704694075	0.998	0.994	8.43154630927644e-91	H2-K1
3.55553031028553e-95	0.309620127463717	0.794	0.61	1.14790296067568e-90	Ext1
3.78113197611924e-95	-0.408775449691231	0.137	0.258	1.2207384584901e-90	Tagap
1.32693948494811e-94	-0.432746654562933	0.174	0.294	4.28402412715496e-90	Rarg
3.87069838309152e-94	-0.399771252006489	0.186	0.31	1.2496549729811e-89	A630023P12Rik
5.40608389026372e-94	-0.612696925497049	0.116	0.234	1.74535418397164e-89	Hist1h1d
6.97942002454887e-94	-0.486640194419645	0.587	0.609	2.2533057549256e-89	Casp8
8.19597643288612e-94	-0.411637276071996	0.286	0.395	2.64607099135728e-89	AI467606
2.60320853307085e-93	-0.757081144566104	0.135	0.255	8.40445874901925e-89	Immp2l
3.21666150758791e-93	-0.339993610272489	0.08	0.187	1.03849916772476e-88	Phf11c
1.0542498853519e-92	0.290322849311275	0.847	0.679	3.40364575485862e-88	Osbpl8
6.13713064582931e-92	-0.425092053319739	0.586	0.61	1.98137262900599e-87	Pten
6.81458515751889e-92	-0.447086167381704	0.131	0.244	2.20008881810497e-87	Parp11
8.45473043914415e-92	0.263967054395865	0.946	0.819	2.72960972227769e-87	Lsp1
6.92550166900291e-91	-0.636362559106591	0.169	0.29	2.23589821383759e-86	Isg15
1.38519178465377e-90	-0.526241285642797	0.49	0.576	4.4720916767547e-86	Mgat5
2.12153242387143e-90	-0.283386610086935	0.957	0.939	6.84936743046891e-86	Prrc2c
2.43703982352439e-90	-0.495791828103925	0.33	0.431	7.86798307024848e-86	Gpr174
5.53269916662715e-90	-0.378660022419536	0.717	0.692	1.78623192594558e-85	Cd48
1.12192406881892e-89	-0.686812645463652	0.18	0.306	3.62213185618187e-85	Cep112
6.34033823677465e-89	-0.480780999754124	0.309	0.409	2.0469781997427e-84	Abcg1
7.28457984815135e-89	0.26994051769428	0.916	0.769	2.35182660397567e-84	Ubc
1.18949785280483e-88	-0.588070452463732	0.171	0.284	3.8402938177804e-84	Slfn5
5.07572762722735e-88	0.408542371002466	0.752	0.54	1.63869866445035e-83	Cdk11b
8.2887626836023e-88	-0.451665854369185	0.48	0.53	2.676027032401e-83	Cdipt
1.1602548469604e-87	-0.460219180533998	0.367	0.443	3.74588277341166e-83	Capn2
1.25946174866179e-87	0.292852597529964	0.885	0.716	4.06617225555457e-83	Saraf
1.48301103006382e-87	-0.519172045694229	0.387	0.47	4.78790111056106e-83	P4ha1
3.51561555446326e-87	-0.286830739689236	0.065	0.165	1.13501648175847e-82	Plekha1
3.58758506978054e-87	-0.500221028531101	0.201	0.315	1.15825183977865e-82	Zdhhc15
8.49279080419526e-87	-0.451933110814558	0.625	0.633	2.74189751113444e-82	Grap
9.92219200450939e-87	0.468050272625306	0.621	0.462	3.20337968865586e-82	Elovl5
3.93759103457281e-86	-0.324545774730298	0.851	0.842	1.27125126551183e-81	Dock8
5.52066751749998e-86	0.285276938492701	0.152	0.059	1.78234750802487e-81	Ar
1.16334043577008e-85	0.413939826284232	0.915	0.843	3.7558445968837e-81	Tox
1.24660765844594e-85	-0.445077540143655	0.209	0.322	4.02467282529273e-81	Gbp4
2.01983597836143e-85	-0.53741152003576	0.372	0.468	6.52104045613987e-81	Pvt1
1.13085754505576e-84	0.444959200035504	0.922	0.862	3.65097358421251e-80	AW112010
9.70386830336939e-84	-0.480064368596308	0.326	0.418	3.13289388174281e-79	Dtx3l
1.33106673160218e-83	-0.440387101921643	0.299	0.399	4.29734894297763e-79	Traf5
2.42437168948817e-83	0.294650556520086	0.825	0.653	7.82708399951257e-79	Vmp1
3.8112136913953e-83	-0.516333769626945	0.65	0.655	1.23045034026697e-78	Zfp638
4.72446337695363e-83	-0.456782825377128	0.382	0.465	1.52529300124948e-78	Tspan13
7.04694837118897e-83	-0.402491624946186	0.258	0.364	2.27510728163836e-78	Abcc4
8.24756546632127e-83	-0.350724609126753	0.162	0.275	2.66272651080182e-78	Nrros
3.6951008618357e-82	-0.355926936991898	0.116	0.223	1.19296331324366e-77	D130040H23Rik
1.7017598452584e-81	-0.492392780733309	0.606	0.64	5.49413166041673e-77	Adgre5
1.37160116175299e-80	-0.326709783908835	0.115	0.219	4.42821435071954e-76	Prkcz
3.46400846906189e-80	-0.257926490320078	0.956	0.912	1.11835513423663e-75	Msn
4.22434071823681e-80	-0.345892059824381	0.423	0.524	1.36382840088275e-75	Pglyrp1
4.8513760928359e-80	-0.429434514763264	0.445	0.499	1.56626677157207e-75	Cnp
1.32446572949101e-79	0.495437439366949	0.434	0.29	4.27603760766172e-75	Alcam
2.62576791254122e-79	-0.67985352412463	0.03	0.108	8.47729170563934e-75	Nckap5
3.36591533913608e-79	-0.408773611121614	0.54	0.59	1.08668576724008e-74	Spata13
1.68627314272067e-78	-0.321280013001193	0.812	0.763	5.44413284127367e-74	Cyb5a
4.97168690658225e-78	-0.423431346823693	0.266	0.363	1.60510911779008e-73	Ikbke
3.02173676496426e-77	0.380929306802905	0.209	0.104	9.7556771456871e-73	Il1r2
3.32840153714598e-77	-0.388409959104195	0.757	0.723	1.07457443626758e-72	Cd37
8.85550704737078e-77	0.335776122357484	0.161	0.07	2.85900045024366e-72	Mt1
2.66616530612191e-76	0.293053500925718	0.917	0.797	8.6077146908146e-72	Fam107b
3.0338948355595e-76	-0.371270569145437	0.48	0.574	9.79492947660385e-72	St8sia4
3.93135449377554e-76	0.477975665594498	0.728	0.61	1.26923779831543e-71	Arl15
6.25560488261748e-76	-0.311232642402886	0.078	0.171	2.01962203635305e-71	Ifit2
2.24731701767956e-75	-0.32643655894471	0.171	0.274	7.25546299157847e-71	Ly9
3.75683888334805e-75	-0.332809674242765	0.076	0.168	1.21289543348892e-70	Fam49a
3.85806478639336e-75	-0.255813095906334	0.062	0.151	1.2455762162871e-70	Phf11a
4.02769796109711e-75	-0.306625489815295	0.836	0.792	1.3003422867402e-70	Eef1d
3.70125846567463e-74	0.256254222414737	0.56	0.384	1.19495129564305e-69	Airn
5.68263141623464e-74	-0.419476368609283	0.294	0.38	1.83463755273135e-69	Phgdh
6.28428062203638e-74	-0.35335104297964	0.774	0.735	2.02887999882444e-69	Prdx1
6.37791221572985e-74	-0.429433272108007	0.2	0.3	2.05910895884838e-69	Ddx58
7.79335601102124e-74	-0.436926677181851	0.306	0.398	2.51608498815821e-69	Arhgef12
2.04643034673662e-73	-0.362117677732078	0.866	0.846	6.60690037443918e-69	Gimap3
4.60951780906054e-73	-0.352843995561951	0.92	0.902	1.4881828246552e-68	Macf1
6.68904229058375e-73	-0.314097717174679	0.028	0.101	2.15955730351496e-68	Gm4951
2.1229086834296e-72	-0.369041016314904	0.14	0.242	6.85381068445246e-68	Ms4a6c
2.38352571077332e-72	-0.332517419842684	0.109	0.209	7.69521275723168e-68	Gpr55
2.49944880417783e-72	-0.313637966118074	0.951	0.926	8.06947046428813e-68	Ppp1r12a
4.00266173364624e-72	0.427332703014698	0.43	0.3	1.29225934070769e-67	Snx9
4.27761138584881e-72	-0.442377090773901	0.591	0.61	1.38102683592129e-67	Cd6
7.79374977227365e-72	-0.266685628932126	0.069	0.158	2.51621211397855e-67	Atp6v0a1
1.43478356316852e-71	0.44131187494305	0.642	0.516	4.63219873368958e-67	Il21r
1.77625897187279e-71	-0.380147374797823	0.127	0.223	5.73465209069129e-67	Pdk1
2.60502526771455e-71	0.263773188655635	0.409	0.266	8.41032407681642e-67	Rassf3
3.11904033739327e-71	-0.653065060394919	0.529	0.549	1.00698217292742e-66	Itgb1
5.30491713206476e-71	-0.394547774633172	0.554	0.562	1.71269249608711e-66	Mdh1
9.76658959667939e-71	-0.448891302655521	0.553	0.582	3.15314345128794e-66	Klhl6
1.00077410129241e-70	0.401599321018634	0.782	0.647	3.23099918602253e-66	Cmtm7
1.33075678715649e-70	-0.36934070255624	0.038	0.115	4.29634828733473e-66	Fhit
1.78415288070637e-70	-0.408513850556436	0.315	0.41	5.7601375753605e-66	Bzw2
1.80391514875082e-70	0.299770500042399	0.907	0.799	5.82394005774201e-66	Lncpint
1.84919189446948e-70	-0.347232457588466	0.8	0.765	5.97011603129471e-66	Nsd1
6.09465008039371e-70	-0.390950015096348	0.889	0.87	1.96765777845511e-65	Peli1
1.47741064149728e-69	-0.25443587587205	0.031	0.103	4.76982025607397e-65	Pik3r3
1.52344802692087e-69	0.26589365022914	0.453	0.298	4.91845195491402e-65	Rcbtb2
