p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.49494724942009e-68	1.16621997576951	0.436	0.022	2.41974371947528e-63	9	Trf
4.16528199645973e-67	1.15508259071835	0.564	0.037	1.34476129255702e-62	9	Ms4a6d
6.6220295741096e-67	0.697453303615896	0.615	0.043	2.13792224800128e-62	9	Rbm47
9.7066214984328e-66	1.18072629058563	0.641	0.048	3.13378275076903e-61	9	Kctd12
1.72057100381035e-65	0.488574660827414	0.359	0.015	5.5548634858017e-61	9	Gpr137b
6.23883775469891e-64	1.27951967659742	0.103	0.001	2.01420876910454e-59	9	S100a8
2.02902944647852e-63	0.734833372141576	0.308	0.012	6.55072156795591e-59	9	Kmo
1.89194572506457e-61	0.534714384407432	0.308	0.012	6.10814677337097e-57	9	Hhex
3.4017065475525e-61	1.67383566562568	0.692	0.062	1.09824095887732e-56	9	Tmem176b
7.33613835604297e-60	1.60435362978539	0.821	0.091	2.36847226824847e-55	9	Unc93b1
7.54235031215472e-60	0.490224989191354	0.282	0.01	2.43504779827915e-55	9	Cd24a
3.43577931437327e-59	0.359239744059901	0.385	0.019	1.10924135164541e-54	9	Snx8
1.57764226700697e-58	1.6250761664451	0.692	0.065	5.093418059032e-54	9	Ccdc88a
2.05846750972244e-58	0.704936466087222	0.308	0.013	6.6457623551389e-54	9	Vegfa
3.19117284981017e-58	0.413889907925613	0.385	0.019	1.03027015456121e-53	9	Arrdc4
5.15017172871869e-58	0.472441428466187	0.462	0.028	1.66273294261683e-53	9	Aph1c
3.26027023609878e-57	0.3475547510767	0.333	0.015	1.05257824572449e-52	9	Siglece
5.11358107551367e-57	1.24921466999358	0.538	0.039	1.65091965022959e-52	9	Pkib
5.77072153410967e-57	1.27225463796503	0.564	0.043	1.86307744728731e-52	9	Ctsl
2.39319850580298e-56	0.879883537531041	0.641	0.056	7.72644137598493e-52	9	Fndc3b
2.95173826592291e-55	0.346459438651403	0.359	0.018	9.52968699153213e-51	9	Batf3
2.75467603459087e-54	0.471711740169045	0.359	0.018	8.89347157767662e-50	9	Lrrk2
2.75269916275551e-53	0.62731709973789	0.333	0.016	8.88708924695616e-49	9	Nectin1
3.53455382120183e-52	1.62251595420264	0.667	0.066	1.14113070117501e-47	9	Tmem176a
7.1325740545721e-52	0.269619006190804	0.128	0.002	2.3027515335186e-47	9	Clmp
4.87009357348065e-51	0.28334817491014	0.256	0.01	1.57230971019823e-46	9	Ctnnd1
8.95529977695385e-51	2.056994486152	0.538	0.043	2.89121853298955e-46	9	Ifitm1
1.45801410030956e-50	2.62698707279296	0.846	0.118	4.7071985228494e-46	9	Zeb2
3.1376626175715e-50	0.488207235635794	0.231	0.008	1.01299437608296e-45	9	Slc15a2
4.26617595842467e-50	0.532796604826927	0.308	0.015	1.37733490817741e-45	9	Nostrin
5.44405905429583e-50	0.359421265852078	0.154	0.004	1.75761446567941e-45	9	Bcar3
1.94102485601887e-49	0.485208678281156	0.59	0.05	6.26659874765691e-45	9	Sgk3
3.63246317061289e-49	0.37639009824418	0.385	0.023	1.17274073463237e-44	9	Sowahc
4.73225587410071e-49	0.890782002434402	0.538	0.045	1.52780880895342e-44	9	Atp8b4
1.47675514969673e-48	0.350419064261539	0.154	0.004	4.76770400079588e-44	9	C3ar1
1.95069241091815e-48	0.526669645314397	0.359	0.021	6.29781044864924e-44	9	Rai14
2.08345495425614e-47	0.265270063869827	0.103	0.002	6.72643431981593e-43	9	AI839979
8.17972546850429e-47	0.823178646882016	0.667	0.07	2.64082436750661e-42	9	Gns
1.49112651261181e-45	0.427066417316622	0.385	0.024	4.81410194596723e-41	9	Slc30a4
4.7186147751782e-45	0.775909914828379	0.333	0.019	1.52340478016628e-40	9	Pltp
1.57067895215041e-44	1.39673855741525	0.641	0.072	5.0709369970176e-40	9	Tpd52
2.77378925671615e-43	0.597704037933704	0.41	0.029	8.9551786153081e-39	9	Klrk1
3.6350937900141e-43	0.585282895297622	0.564	0.054	1.17359003010605e-38	9	Dock5
