NAME	TITLE	SCORE	
IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1.3206975	
MIR4435-2HG	MIR4435-2 host gene [Source:HGNC Symbol;Acc:HGNC:35163]	1.3194069	
CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	1.315396	
CXCR3	C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]	1.306874	
PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	1.3045976	
DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1.3032018	
SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	1.2911057	
PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	1.289299	
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	1.2834951	
RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	1.2777553	
CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	1.2770902	
ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	1.2767231	
FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	1.2727956	
ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	1.2726407	
PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	1.2712859	
FNBP1	formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]	1.2666694	
COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	1.2664125	
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	1.2648013	
SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	1.2632291	
REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1.2622926	
EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	1.261499	
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]	1.2607964	
IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	1.2483732	
NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	1.2476699	
TEX2	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]	1.2375774	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1.2373471	
WNK1	WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]	1.2363149	
CRLF2	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]	1.2300812	
NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	1.2278624	
CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	1.2207468	
MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	1.2167667	
CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	1.215444	
FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	1.2086954	
ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	1.2042536	
GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	1.2031116	
CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	1.201765	
SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	1.199839	
GNA13	G protein subunit alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]	1.1970927	
VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	1.1950085	
SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	1.1904515	
CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	1.1878756	
ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	1.1834779	
FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	1.1697276	
SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	1.16409	
PHACTR2	phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:HGNC:20956]	1.1563793	
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3363]	1.155178	
TBX21	T-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11599]	1.1542739	
HILPDA	hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]	1.1541146	
