NAME	TITLE	SCORE	
SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	0.9788586	
VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	0.97775143	
ISY1	ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	0.9741419	
CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	0.97309583	
S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	0.9713234	
HNRNPLL	heterogeneous nuclear ribonucleoprotein L like [Source:HGNC Symbol;Acc:HGNC:25127]	0.96771294	
TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	0.9666803	
MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	0.9661326	
PDE4D	phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	0.96423537	
NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	0.9560837	
CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	0.9548247	
CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	0.9533011	
UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]	0.95088184	
PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	0.9491329	
PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9283]	0.94032204	
SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]	0.93912345	
ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	0.93822914	
GPR132	G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:HGNC:17482]	0.93416786	
CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	0.93374836	
TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	0.93306094	
GPR68	G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]	0.92560184	
SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	0.9250373	
FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	0.9181651	
ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	0.9164287	
ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	0.91446203	
BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	0.9089996	
